filename, language, YAML, JavaScript, JSON, Markdown, TypeScript, Vue, XML, HTML, CSS, comment, blank, total
d:\Repos\Web\Aphelion\Final\Client\src\ts\graphics\game\Player.ts, TypeScript, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 14, 101
d:\Repos\Web\Aphelion\Final\Client\src\ts\graphics\game\Renderer.ts, TypeScript, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 11, 64
d:\Repos\Web\Aphelion\Final\Client\src\ts\interfaces\ICredentials.ts, TypeScript, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
d:\Repos\Web\Aphelion\Final\Client\src\ts\interfaces\IEntity.ts, TypeScript, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
d:\Repos\Web\Aphelion\Final\Client\src\ts\interfaces\IHazard.ts, TypeScript, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
d:\Repos\Web\Aphelion\Final\Client\src\ts\interfaces\IUserInfo.ts, TypeScript, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
d:\Repos\Web\Aphelion\Final\Client\src\ts\plugins\router.ts, TypeScript, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
d:\Repos\Web\Aphelion\Final\Client\src\ts\plugins\store.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 7, 29
d:\Repos\Web\Aphelion\Final\Client\src\ts\util\StoreLoader.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Repos\Web\Aphelion\Final\Client\src\ts\util\Time.ts, TypeScript, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
d:\Repos\Web\Aphelion\Final\Client\src\ts\util\Validator.ts, TypeScript, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
d:\Repos\Web\Aphelion\Final\Client\tsconfig.json, JSON, 0, 0, 29, 0, 0, 0, 0, 0, 0, 11, 0, 40
d:\Repos\Web\Aphelion\Final\Client\tslint.json, JSON, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
d:\Repos\Web\Aphelion\Final\Client\vue.config.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 0, 11, 4, 20
d:\Repos\Web\Aphelion\Final\Server\.jshintrc, JSON, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
d:\Repos\Web\Aphelion\Final\Server\dist\comm\Hub.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6
d:\Repos\Web\Aphelion\Final\Server\dist\comm\MessageTypes.js, JavaScript, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
d:\Repos\Web\Aphelion\Final\Server\dist\comm\Server.js, JavaScript, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 0, 30
d:\Repos\Web\Aphelion\Final\Server\dist\coms\MessageTypes.js, JavaScript, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
d:\Repos\Web\Aphelion\Final\Server\dist\coms\Server.js, JavaScript, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 0, 31
d:\Repos\Web\Aphelion\Final\Server\dist\events\EventDefinitions.js, JavaScript, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
d:\Repos\Web\Aphelion\Final\Server\dist\interfaces\IAccountInfo.js, JavaScript, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
d:\Repos\Web\Aphelion\Final\Server\dist\interfaces\IAuthResponse.js, JavaScript, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
d:\Repos\Web\Aphelion\Final\Server\dist\interfaces\IEntity.js, JavaScript, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
d:\Repos\Web\Aphelion\Final\Server\dist\interfaces\IHazard.js, JavaScript, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
d:\Repos\Web\Aphelion\Final\Server\dist\interfaces\IUserInfo.js, JavaScript, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
d:\Repos\Web\Aphelion\Final\Server\dist\main.js, JavaScript, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 0, 46
d:\Repos\Web\Aphelion\Final\Server\dist\services\AmbientContext.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6
d:\Repos\Web\Aphelion\Final\Server\dist\services\ConnectionService.js, JavaScript, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
d:\Repos\Web\Aphelion\Final\Server\dist\services\CryptoService.js, JavaScript, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 0, 55
d:\Repos\Web\Aphelion\Final\Server\dist\services\DatabaseReturnStatus.js, JavaScript, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
d:\Repos\Web\Aphelion\Final\Server\dist\services\DatabaseService.js, JavaScript, 0, 124, 0, 0, 0, 0, 0, 0, 0, 1, 0, 125
d:\Repos\Web\Aphelion\Final\Server\dist\services\GameService.js, JavaScript, 0, 69, 0, 0, 0, 0, 0, 0, 0, 1, 0, 70
d:\Repos\Web\Aphelion\Final\Server\dist\services\LoggerService.js, JavaScript, 0, 103, 0, 0, 0, 0, 0, 0, 0, 1, 0, 104
d:\Repos\Web\Aphelion\Final\Server\dist\services\MessageService.js, JavaScript, 0, 119, 0, 0, 0, 0, 0, 0, 0, 1, 0, 120
